Bin Number,0 Control,0->1->0,1->0->1,1 Control (0->1->0),1 Control (1->0->1)
256,1.73E-18,0.107758247,0.610044266,1,1
257,-4.63E-18,0.106884107,0.608183187,1,1
258,-2.31E-18,0.107849024,0.607822302,1,1
259,-5.78E-19,0.107466963,0.605103601,1,1
260,-2.31E-18,0.108188966,0.604826458,1,1
261,0,0.108274568,0.601884122,1,1
262,-3.47E-18,0.108780644,0.600338274,1,1
263,0,0.108238037,0.599364432,1,1
264,-5.20E-18,0.108416851,0.59951388,1,1
265,-1.73E-18,0.109606983,0.600440161,1,1
266,0,0.108011766,0.599098654,1,1
267,1.73E-18,0.107764011,0.600232864,1,1
268,0,0.108259625,0.592360685,1,1
269,-4.05E-18,0.108060022,0.592239218,1,1
270,2.89E-18,0.107478019,0.59030071,1,1
271,-2.31E-18,0.108256228,0.588362743,1,1
272,-5.78E-19,0.108525907,0.587579786,1,1
273,0,0.108348221,0.586313351,1,1
274,1.16E-18,0.108532051,0.588767763,1,1
275,-3.47E-18,0.108026625,0.588430185,1,1
276,3.47E-18,0.109050648,0.58662286,1,1
277,1.16E-18,0.109114859,0.583155196,1,1
278,-1.16E-18,0.10836829,0.58411427,1,1
279,2.89E-18,0.111003157,0.577719306,1,1
280,-2.31E-18,0.11122654,0.576655464,1,1
281,-1.16E-18,0.11311895,0.577760638,1,1
282,1.16E-18,0.112355692,0.576184861,1,1
283,1.16E-18,0.111466794,0.573740092,1,1
284,1.73E-18,0.110315874,0.572531145,1,1
285,-4.63E-18,0.110448336,0.576017734,1,1
286,2.31E-18,0.110521594,0.575775282,1,1
287,0,0.108654865,0.569112388,1,1
288,-2.89E-18,0.109062482,0.569290467,1,1
289,3.47E-18,0.111068785,0.569609414,1,1
290,1.16E-18,0.110461219,0.568103476,1,1
291,2.31E-18,0.109345879,0.566463075,1,1
292,5.78E-19,0.108114721,0.566285691,1,1
293,2.31E-18,0.107501828,0.563259997,1,1
294,0,0.108463951,0.563389276,1,1
295,2.89E-18,0.10890246,0.563707878,1,1
296,-2.31E-18,0.110170196,0.562251215,1,1
297,1.16E-18,0.110035382,0.560478014,1,1
298,-1.73E-18,0.108939618,0.55964187,1,1
299,-3.47E-18,0.106563402,0.558534671,1,1
300,-3.47E-18,0.107412072,0.557734168,1,1
301,-2.31E-18,0.11392245,0.550527164,1,1
302,-2.89E-18,0.113668198,0.550196391,1,1
303,-2.31E-18,0.113863472,0.549999024,1,1
304,1.16E-18,0.113327521,0.547955982,1,1
